GEOID,latino_pop,total_pop
27043,1013,13921
27045,341,21228
27047,3183,30895
27049,1797,47582
27051,135,6074
27053,98250,1281565
27055,243,18843
27057,489,21344
27059,896,41135
27061,618,45014
27063,401,9989
27065,238,16032
27067,5916,43732
27069,83,4207
27071,167,12062
27073,202,6719
27075,113,10905
27077,56,3763
27079,1872,28674
27081,107,5640
27083,1744,25269
27085,2555,36771
27087,154,5411
27089,390,9040
27091,1320,20025
27093,950,23400
27095,481,26459
27097,633,34010
27099,5081,40029
27101,382,8179
27103,1800,34454
27105,7271,22290
27107,288,6441
27109,9196,162847
27111,2216,60081
27113,671,13992
27115,713,28876
27117,804,9424
27119,1999,31192
27121,191,11308
27123,45034,552352
27125,103,3935
27127,496,15425
27129,1319,14723
27131,6783,67097
27133,364,9704
27135,238,15331
27137,3603,200231
27139,9008,150928
27141,2820,97183
27143,1315,14836
27145,6951,158292
27147,3140,37406
27149,986,9671
27151,662,9838
27153,2208,25262
27155,197,3360
27157,708,21387
27159,273,14065
27161,1271,18968
27163,13094,267568
27165,3227,11253
27167,211,6506
27169,1889,49671
27171,4697,141337
27173,448,9528
28001,1012,29538
28003,1248,34740
28005,129,12720
28007,331,17889
28009,145,7646
28011,794,30985
28013,747,13266
28015,154,9998
28017,642,17106
28019,117,8246
28021,72,9135
28023,132,15615
28025,186,18636
28027,350,21390
28029,1111,28368
28031,418,18340
28033,10161,185314
28035,3258,78158
28037,60,7675
28039,672,24350
28041,171,13530
28043,310,21629
28045,1918,46053
28047,13976,208621
28049,4564,227742
28051,112,17000
28053,91,7785
28055,128,1338
28057,384,23863
28059,10050,143252
28061,169,16367
28063,74,7260
28065,101,11321
28067,4139,67246
28069,67,8988
28071,2142,55813
28073,2362,64222
28075,1789,72984
28077,207,12016
28079,1230,21275
28081,2828,83343
28083,840,28339
28085,406,34907
28087,1323,58879
28089,4117,109145
28091,406,24441
28093,1540,33752
28095,473,34180
28097,106,9822
28099,434,29087
28101,329,21291
28103,172,10285
28105,1268,51788
28107,678,33208
28109,2284,56145
